.interval,.observations,.portfolio_tickers,id_carteira,.market_ticker,shapiro_w,shapiro_p,adf_stat,adf_lag_order,adf_p
month,12,,5,^GSPC,0.9542480172865621,0.09873135014438311,-1.9961962931931072,3,0.5750457057254249
month,24,,5,^GSPC,0.8822381614803623,0.0037769259676452217,-2.276636691119344,3,0.4665567601612637
week,13,,5,^GSPC,0.9779941610305848,0.0018611102818054072,-3.7036378806491457,5,0.024786433705389677
week,26,,5,^GSPC,0.97140539749011,3.756923893754741e-4,-3.1324915299070795,5,0.10163739844697135
week,52,,5,^GSPC,0.9480058283042178,4.460775297269797e-6,-2.7461507961858085,5,0.264493783363634
week,104,,5,^GSPC,0.7095674387910171,2.091165272111096e-14,-3.4607605256646603,4,0.04873911437277274
month,3,,6,^BVSP,0.7640790655992242,4.183372468267021e-8,-3.817631069029908,3,0.023932179088298776
month,6,,6,^BVSP,0.9780907462046138,0.43545526147011443,-2.4492978690313936,3,0.39362130447518884
month,12,,6,^BVSP,0.9483275548957262,0.03725095756473436,-1.8186369457204306,3,0.6463092465748433
month,24,,6,^BVSP,0.9709835770403642,0.47084154524924443,-2.73306639628195,3,0.2884424786325181
week,13,,6,^BVSP,0.9204772524778289,3.0016783762667986e-10,-4.505849604632116,6,0.01
week,26,,6,^BVSP,0.9499756398380915,3.034330392109851e-7,-3.0667118227339785,6,0.12749958411069987
week,52,,6,^BVSP,0.9292909448819281,1.6821347574876e-8,-2.301100333477765,5,0.44982170049140013
week,104,,6,^BVSP,0.9318530206198706,8.16611197384461e-7,-2.2166536042449394,5,0.48602448575709567
month,3,,6,^GSPC,0.7933075031618797,7.527589553793547e-7,-2.6901629952505512,3,0.29797358605141033
month,6,,6,^GSPC,0.902130481809394,9.643942191958919e-4,-2.686088437163458,3,0.30115767906025526
month,12,,6,^GSPC,0.9437794494782259,0.046434421158174526,-2.304593646235408,3,0.4539271404099656
month,24,,6,^GSPC,0.7597999894403429,2.2558513943704834e-5,-2.1239106338142038,3,0.5251298263908938
week,13,,6,^GSPC,0.9820744835169999,0.007820911692871283,-4.0148682730899905,5,0.01
week,26,,6,^GSPC,0.9702128753914349,2.767611316861067e-4,-3.581955116409558,5,0.03635988778049417
week,52,,6,^GSPC,0.9154634054153347,1.509190687136165e-8,-3.442074281448726,5,0.04980793690289578
week,104,,6,^GSPC,0.8088039458367867,2.0783489157847283e-11,-4.24149708873231,4,0.01
month,3,,7,^BVSP,0.911697985734424,5.137151938366731e-4,-2.9865488565230445,3,0.1765992106019591
month,6,,7,^BVSP,0.9657446551991657,0.12468554878632714,-1.8837548307604282,3,0.6213230645346645
month,12,,7,^BVSP,0.9202058544116832,0.003022883546506369,-0.6240777919338965,3,0.9703916730825981
month,24,,7,^BVSP,0.9447925771575967,0.07172358577870891,-3.8133279988078055,3,0.030808484938802623
week,13,,7,^BVSP,0.970388280103025,4.772783067865255e-5,-4.45127759243621,6,0.01
week,26,,7,^BVSP,0.9690148552097375,5.065564690741154e-5,-2.4309204108628792,6,0.39472604903294617
week,52,,7,^BVSP,0.971033028871349,2.5648247572876074e-4,-1.5815472912588506,5,0.751470233899095
week,104,,7,^BVSP,0.9776881383157885,0.011602383541447542,-1.5964566266427065,5,0.7446131026195324
month,3,,7,^GSPC,0.9584655607605315,0.0766628778980851,-3.5296867156136127,3,0.04787361625715127
month,6,,7,^GSPC,0.939083525683355,0.016453236302525508,-2.8834851130045154,3,0.22198242159612858
month,12,,7,^GSPC,0.9430355014268914,0.039992019800058676,-2.25116794086016,3,0.4747618718347454
month,24,,7,^GSPC,0.8993356734838044,0.009444819459934957,-2.9627463038042254,3,0.20352834816782622
week,13,,7,^GSPC,0.9732514826757717,4.0173888518158375e-4,-3.3857296430013064,5,0.058156170610893385
week,26,,7,^GSPC,0.9753704550171418,0.0012374254597274687,-2.524782749735093,5,0.3562284249119845
week,52,,7,^GSPC,0.9589574274282496,4.790602010227277e-5,-3.1012356408427433,5,0.11613997318735036
week,104,,7,^GSPC,0.8832141100592918,1.7977222895066654e-8,-2.8776004741457877,4,0.2118635054453406
month,3,,8,^BVSP,0.9534510939042576,0.030415815130310914,-2.739741419229032,3,0.27631394385926134
month,6,,8,^BVSP,0.9469037852932761,0.01985380266729665,-1.702948701669291,3,0.6940234648141312
month,12,,8,^BVSP,0.9014272423036922,8.000480488110554e-4,0.7567691019617209,3,0.99
month,24,,8,^BVSP,0.8555087874518374,3.0825919552721065e-4,-1.0938024425967476,3,0.9096450657156329
week,13,,8,^BVSP,0.9822860407441155,0.0034891527284983347,-4.242843339418369,6,0.01
week,26,,8,^BVSP,0.9681529244259603,4.0468002445923244e-05,-2.8821603218958787,6,0.20507482616118317
week,52,,8,^BVSP,0.9592311451007066,1.0614957521510264e-5,-2.0875457941130495,5,0.5393436201580174
week,104,,8,^BVSP,0.9618907133918749,2.5692363319609955e-4,-1.7191112770357557,5,0.6934634381061403
month,3,,8,^GSPC,0.888971156710899,2.4444162158770934e-4,-3.3115474806753737,3,0.08039178826185432
month,6,,8,^GSPC,0.9511571117570226,0.0519695053537753,-2.8338518393233145,3,0.24240483525911952
month,12,,8,^GSPC,0.8960049764688486,0.0014658476673588402,-1.768724499347595,3,0.664236852689327
month,24,,8,^GSPC,0.9257013513107815,0.048079238356707237,-3.2483698477454857,3,0.0981544495872358
week,13,,8,^GSPC,0.9829178409546789,0.010558573007989519,-3.158191396237548,5,0.09610143396040863
week,26,,8,^GSPC,0.9694214001040852,2.2088067846896941e-4,-2.6316795484177904,5,0.3114792271088252
week,52,,8,^GSPC,0.9698231366867914,7.222039961807858e-4,-3.067745312115426,5,0.13018472600922143
week,104,,8,^GSPC,0.9007047314412526,1.4650964407881947e-7,-2.9107676685109434,4,0.19812637989919593
month,3,,9,^BVSP,0.9193817358817524,0.0010100536232831147,-3.4790112738741006,3,0.0523596861029439
month,6,,9,^BVSP,0.9816083347490736,0.5716239558714366,-1.6254138377217995,3,0.7253669602409185
month,12,,9,^BVSP,0.9345379237181131,0.01006034760251147,-1.8410895353605856,3,0.637584051373568
month,24,,9,^BVSP,0.9610972428278183,0.2323453986865568,-1.588181737825549,3,0.7333923199122379
